text,label
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
Free entry in 2 a weekly competition to win FA Cup final tickets,spam
"Hey, are we still meeting for lunch today?",ham
Congratulations! You have won a $1000 Walmart gift card,spam
Can you send me the report by tomorrow?,ham
Urgent! Your account has been compromised. Reset your password now,spam
Don't forget the team meeting at 10 AM,ham
Win a free iPhone by clicking this link,spam
Are you coming to the party tonight?,ham
Get cheap medicines online with no prescription,spam
Please review the attached document before the call,ham
